species	taxon_id
GCA_900314685	2
GCA_900322215	1898207
GCA_900318905	186802
GCA_900313315	186803
GCA_900321435	186802
GCA_900317125	171549
GCA_900320595	186802
GCA_900317675	186802
GCA_900314805	905
GCA_900314015	186802
GCA_900317065	171549
GCA_900314325	1291539
GCA_900316805	186803
GCA_900318885	171552
GCA_900314935	838
GCA_900321715	171549
GCA_900313255	186802
GCA_900313455	186802
GCA_900313855	186802
GCA_900317985	186802
GCA_900313695	186802
GCA_900313805	838
GCA_900319655	186802
GCA_900317495	838
GCA_900313265	186803
GCA_900313665	838
GCA_900318435	186802
GCA_900314085	186803
GCA_900316225	838
GCA_900314675	519427
GCA_900314735	186802
GCA_900316115	186802
GCA_900319785	186802
GCA_900318965	186802
GCA_900322065	1263
GCA_900316255	186802
GCA_900321745	2
GCA_900321965	171552
GCA_900321065	838
GCA_900314835	186802
GCA_900316185	171549
GCA_900315245	171549
GCA_900318775	171552
GCA_900320795	171549
GCA_900318805	186802
GCA_900319085	171552
GCA_900319325	423604
GCA_900315845	423604
GCA_900322045	186802
GCA_900317475	186803
GCA_900317925	171549
GCA_900321815	2
GCA_900314145	838
GCA_900313555	186802
GCA_900319795	186802
GCA_900318755	186802
GCA_900320315	2
GCA_900314425	186803
GCA_900319035	171549
GCA_900317435	519427
GCA_900314155	186803
GCA_900317905	186802
GCA_900314885	186802
GCA_900320945	186802
GCA_900313685	133925
GCA_900322005	171552
GCA_900321025	186802
GCA_900315495	186803
GCA_900313755	2172
GCA_900315615	31977
GCA_900321585	171552
GCA_900321085	186802
GCA_900320035	41295
GCA_900316295	838
GCA_900317365	2
GCA_900315955	838
GCA_900322125	2316
GCA_900320125	171552
GCA_900318465	171549
GCA_900315285	186802
GCA_900316735	171552
GCA_900313655	171549
GCA_900320195	186802
GCA_900319835	186802
GCA_900316695	186802
GCA_900321555	171552
GCA_900315645	186802
GCA_900321505	186802
GCA_900320835	186802
GCA_900317995	186803
GCA_900316335	186802
GCA_900319295	171552
GCA_900318685	171552
GCA_900313215	838
GCA_900313155	41295
GCA_900317455	40544
GCA_900317115	171552
GCA_900315035	838
GCA_900320805	186802
GCA_900316145	186802
GCA_900316385	186802
GCA_900320875	171549
GCA_900321265	186802
GCA_900314205	186803
GCA_900316415	186802
GCA_900318405	186802
GCA_900317835	171552
GCA_900315635	838
GCA_900318735	186802
GCA_900314065	186803
GCA_900318035	2172
GCA_900314545	2172
GCA_900320215	838
GCA_900322165	186802
GCA_900318515	186802
GCA_900317855	186802
GCA_900316345	186802
GCA_900316905	157
GCA_900318245	171549
GCA_900320715	171552
GCA_900321325	838
GCA_900322055	423604
GCA_900314305	909929
GCA_900316745	186802
GCA_900319605	171552
GCA_900315315	186802
GCA_900317845	171549
GCA_900315835	838
GCA_900321955	1239
GCA_900319705	2
GCA_900321135	186802
GCA_900315485	186802
GCA_900314345	128827
GCA_900317035	186802
GCA_900313425	186802
GCA_900317895	838
GCA_900319755	1301
GCA_900313965	186803
GCA_900317715	171549
GCA_900320845	171552
GCA_900316405	171549
GCA_900314975	186802
GCA_900320295	838
GCA_900316955	171549
GCA_900316095	133925
GCA_900319285	186802
GCA_900313995	186803
GCA_900319815	171549
GCA_900318375	186803
GCA_900320735	186802
GCA_900319195	1263
GCA_900314965	128827
GCA_900316965	171549
GCA_900321855	186802
GCA_900318975	1239
GCA_900314045	186803
GCA_900321495	2
GCA_900316845	171549
GCA_900318845	171549
GCA_900315115	838
GCA_900318415	186802
GCA_900316685	171552
GCA_900314165	904
GCA_900313475	186802
GCA_900315555	186802
GCA_900317015	128827
GCA_900315505	186803
GCA_900314865	128827
GCA_900317575	1239
