sample	producer	occurrence
NG5636497	specI_v3_Cluster2366	1
NG5636497	MB2bin38	1
NG5636497	specI_v3_Cluster10413	1
NG5636497	MB2bin225	1
NG5636497	MB2bin12	1
NG5636497	MB2bin127	1
NG5636497	MB2bin129	1
NG5636497	MB2bin203	1
NG5636497	specI_v3_Cluster7721	1
MH0373	MB2bin301	1
MH0373	MB2bin6	1
MH0373	MB2bin39	1
MH0373	MB2bin13	1
MH0373	specI_v3_Cluster3435	1
MH0373	specI_v3_Cluster3592	1
MH0373	MB2bin76	1
MH0373	MB2bin158	1
MH0373	MB2bin295	1
MH0373	specI_v3_Cluster2366	1
MH0373	MB2bin146	1
MH0373	specI_v3_Cluster2160	1
MH0373	MB2bin347	1
MH0373	MB2bin336	1
MH0373	MB2bin185	1
MH0373	MB2bin268	1
MH0373	MB2bin23	1
MH0373	MB2bin22	1
MH0373	MB2bin192	1
MH0373	MB2bin342	1
MH0373	MB2bin183	1
MH0373	MB2bin127	1
MH0373	MB2bin21	1
MH0373	specI_v3_Cluster3639	1
MH0373	specI_v3_Cluster1576	1
MH0373	MB2bin69	1
MH0373	MB2bin12	1
MH0373	MB2bin159	1
MH0373	specI_v3_Cluster2159	1
MH0373	MB2bin24	1
MH0373	specI_v3_Cluster3638	1
MH0373	MB2bin114	1
MH0373	MB2bin52	1
MH0373	specI_v3_Cluster11800	1
MH0252	MB2bin6	1
MH0252	MB2bin39	1
MH0252	MB2bin76	1
MH0252	MB2bin122	1
MH0252	specI_v3_Cluster10408	1
MH0252	MB2bin21	1
MH0252	MB2bin222	1
MH0252	MGS00057	1
MH0252	MB2bin94	1
MH0252	MGS00010	1
MH0252	MB2bin183	1
MH0252	specI_v3_Cluster10413	1
MH0252	MGS00051	1
MH0252	MB2bin52	1
MH0252	MB2bin127	1
MH0252	specI_v3_Cluster1597	1
MH0252	MB2bin224	1
MH0252	MB2bin112	1
MH0252	MB2bin192	1
MH0252	MB2bin13	1
MH0252	MB2bin339	1
MH0252	MB2bin125	1
MH0252	specI_v3_Cluster11800	1
MH0252	specI_v3_Cluster1595	1
MH0252	MB2bin137	1
MH0252	specI_v3_Cluster3602	1
MH0252	MGS00100	1
MH0252	MB2bin26	1
MH0252	MB2bin136	1
MH0252	MB2bin61	1
MH0252	MB2bin162	1
MH0252	MB2bin185	1
MH0252	specI_v3_Cluster3066	1
MH0252	MB2bin12	1
MH0252	MB2bin24	1
MH0252	MB2bin189	1
MH0252	MB2bin225	1
MH0252	MB2bin4	1
MH0252	MB2bin114	1
MH0252	MB2bin158	1
MH0252	specI_v3_Cluster7595	1
MH0252	specI_v3_Cluster1577	1
MH0252	MB2bin38	1
MH0252	MB2bin123	1
MH0252	MB2bin174	1
MH0252	MB2bin159	1
MH0252	MGS00155	1
MH0252	specI_v3_Cluster7698	1
MH0252	MB2bin207	1
MH0252	specI_v3_Cluster1576	1
MH0252	MB2bin257	1
MH0252	MB2bin180	1
MH0252	MB2bin23	1
MH0252	specI_v3_Cluster2366	1
MH0252	specI_v3_Cluster3637	1
MH0252	MB2bin168	1
MH0252	MB2bin129	1
MH0252	MB2bin146	1
MH0252	MB2bin75	1
NG5636344	MB2bin301	1
NG5636344	MB2bin6	1
NG5636344	MB2bin39	1
NG5636344	MB2bin146	1
NG5636344	MB2bin76	1
NG5636344	MB2bin185	1
NG5636344	specI_v3_Cluster1576	1
NG5636344	MB2bin69	1
NG5636344	MGS00051	1
NG5636344	MB2bin23	1
NG5636344	specI_v3_Cluster3476	1
NG5636344	MB2bin127	1
NG5636344	MB2bin12	1
NG5636344	MB2bin207	1
NG5636344	MGS00155	1
NG5636344	MB2bin183	1
NG5636344	specI_v3_Cluster3477	1
NG5636344	MB2bin93	1
NG5636344	MB2bin114	1
NG5636344	specI_v3_Cluster1597	1
NG5636344	specI_v3_Cluster3478	1
NG5636344	MB2bin22	1
NG5636344	MB2bin21	1
NG5636344	MB2bin62	1
NG5636344	specI_v3_Cluster11800	1
NG5636344	specI_v3_Cluster7314	1
NG5636344	MB2bin158	1
NG5636344	MB2bin52	1
NG5636344	MB2bin75	1
NG5636344	specI_v3_Cluster3475	1
NG5636344	specI_v3_Cluster2366	1
NG5425485	MB2bin158	1
NG5425485	MB2bin3	1
NG5425485	MB2bin69	1
NG5425485	MGS00155	1
NG5425485	MGS00051	1
NG5425485	MB2bin26	1
NG5425485	MB2bin162	1
NG5425485	MB2bin146	1
NG5425485	specI_v3_Cluster1576	1
NG5425485	MB2bin183	1
NG5425485	MB2bin12	1
NG5425485	MB2bin52	1
NG5425485	MB2bin114	1
NG5425485	MB2bin21	1
NG5425485	MB2bin93	1
