species	nb_reactions	nb_reactions_with_genes	nb_genes	nb_compounds	nb_pathways
MGS00156	770	595	965	992	96
MB2bin235	1462	1175	1539	1740	186
MB2bin256	1351	1055	1638	1592	159
MB2bin313	1650	1242	2176	1920	220
MB2bin150	1637	1307	2830	1864	233
MB2bin117	1648	1304	2475	1835	241
MB2bin132	1713	1354	2497	1951	220
MB2bin239	1492	1165	2066	1733	203
MB2bin287	1536	1195	1844	1793	196
MB2bin144	1558	1227	2195	1793	225
MB2bin108	1637	1283	2172	1877	226
MB2bin78	985	785	1107	1290	110
MB2bin83	1939	1548	3266	2176	268
MB2bin244	1273	1010	2464	1501	180
MB2bin94	1372	1083	2215	1593	183
MB2bin174	1791	1382	2461	2014	226
MB2bin149	1631	1282	2463	1851	216
MB2bin315	1640	1291	2291	1960	193
MB2bin214	1441	1122	1833	1668	192
MB2bin249	1393	1062	2018	1571	200
MB2bin62	1783	1447	3057	2101	213
MB2bin77	1561	1253	2136	1837	200
MB2bin342	1695	1349	2158	1940	210
MB2bin180	1255	1015	1891	1517	156
MB2bin36	1814	1436	2817	2053	233
MB2bin21	1612	1280	2159	1839	224
MB2bin207	1739	1325	2745	2004	216
MB2bin213	1758	1380	2230	2041	214
MB2bin310	1483	1126	1779	1713	192
MB2bin268	1977	1555	3076	2197	265
MB2bin145	1575	1261	1923	1805	218
MB2bin103	1781	1412	3184	2073	239
MB2bin293	1409	1153	2159	1712	178
MB2bin320	1565	1201	2129	1794	214
MB2bin142	1255	1015	2065	1452	168
MB2bin227	1528	1185	1997	1779	193
MB2bin15	1193	973	2099	1449	167
MB2bin170	846	648	1267	1137	90
MB2bin217	1095	858	1367	1308	142
MB2bin148	1684	1282	2236	1901	229
MB2bin257	1525	1205	2176	1717	207
MB2bin191	1157	931	1505	1400	156
MB2bin10	1571	1275	2398	1813	201
MB2bin187	1817	1465	2281	2059	240
MB2bin109	1581	1251	2029	1832	213
MB2bin339	1608	1266	2069	1873	231
MB2bin43	1616	1288	1822	1879	203
MB2bin113	1522	1241	2483	1776	209
MB2bin88	1990	1600	3781	2234	290
MB2bin176	1560	1228	1841	1803	204
MB2bin98	1781	1418	3085	2018	242
MB2bin238	1402	1101	2093	1597	193
MB2bin73	1307	993	1669	1575	168
MB2bin24	1765	1386	2683	2002	243
MB2bin41	1706	1372	3013	1987	236
MB2bin222	1398	1154	1643	1614	186
MB2bin254	1698	1350	2547	2000	208
MB2bin329	1404	1094	1885	1607	191
MB2bin123	1651	1301	2765	1890	225
MB2bin96	1823	1474	3066	1993	258
MB2bin242	1458	1150	1826	1669	189
MB2bin12	1982	1596	3136	2210	276
