compounds	producers_nb
M_CDP__45__D__45__GLUCOSE_c	193
M_ACETYL__45__P_c	489
M_CPD__45__4211_c	3
M_CPD__45__674_c	1
M_CPD0__45__2554_c	1492
M_3__45__UREIDO__45__PROPIONATE_c	47
M_CPD__45__961_c	1
M_CPD__45__12575_c	243
M_SHIKIMATE_c	1228
M_XTP_c	457
M_GALACTOSE_c	19
M_IMINOASPARTATE_c	1111
M_GAMMA__45__GLUTAMYL__45__PUTRESCINE_c	19
M_TREHALOSE__45__6P_c	13
M_N__45__FORMIMINO__45__L__45__GLUTAMATE_c	395
M_PYRIDOXINE_c	1520
M_DODECANOATE_c	1520
M_ADENOSINE_c	1035
M_CPD__45__12179_c	6
M_CPD__45__265_c	26
M_CPD__45__16408_c	19
M_2__45__AMINO__45__3__45__3__45__OXOPROP__45__2__45__ENYL__45__BUT__45__2__45__ENEDI_c	4
M_AMINO__45__OXOBUT_c	561
M_URIDINE_c	500
M_PHENOL_c	178
M_CPD__45__15435_c	755
M_THIAMINE__45__PYROPHOSPHATE_c	1435
M_D__45__glucopyranose__45__6__45__phosphate_c	1481
M_L__45__CITRULLINE_c	846
M_OXIDIZED__45__GLUTATHIONE_c	44
M_CPD__45__13489_c	414
M_CPD__45__13847_c	84
M_ISOBUTYRYL__45__COA_c	339
M_7__45__CYANO__45__7__45__DEAZAGUANINE_c	542
M_FORMAMIDE_c	52
M_CPD__45__14795_c	1
M_CPD__45__17188_c	1520
M_ASCORBATE_c	1520
M_3__45__DEHYDRO__45__SHIKIMATE_c	1229
M_OH_c	674
M_CPD0__45__181_c	162
M_CADAVERINE_c	37
M_CPD0__45__2298_c	9
M_1__45__KETO__45__2__45__METHYLVALERATE_c	1078
M_5__45__HYDROXYISOURATE_c	9
M_CPD__45__15999_c	1
M_CPD__45__12253_c	5
M_CPD0__45__2472_c	1520
M_ITP_c	474
M_D__45__ALA__45__D__45__ALA_c	1461
M_ASN_c	1307
M_CPD__45__12175_c	8
M_AEROBACTIN_c	1
M_CO3_c	844
M_CPD__45__7836_c	1520
M_CPD0__45__2123_c	9
M_L__45__LACTATE_c	924
M_LINOLEIC_ACID_c	1520
M_R__45____45__ALLANTOIN_c	9
M_TRYPTAMINE_c	5
M_IMP_c	893
M_CPD0__45__1108_c	799
M_CPD__45__466_c	8
M_ALPHA__45__D__45__MANNOSYL__45__3__45__PHOSPHOGLYCERATE_c	21
M_D__45__ERYTHRO__45__IMIDAZOLE__45__GLYCEROL__45__P_c	1242
M_UTP_c	671
M_CPD__45__15403_c	30
M_DCDP_c	392
M_CPD__45__217_c	69
M_CPD__45__16876_c	15
M_RIBOSE__45__5P_c	1353
M_FMN_c	1497
M_CPD0__45__2483_c	30
M_SPERMIDINE_c	441
M_CPD__45__13907_c	117
M_CPD__45__15975_c	176
M_AMINO__45__OH__45__HYDROXYMETHYL__45__DIHYDROPTERIDINE_c	452
M_CPD__45__387_c	1520
M_CPD__45__10267_c	349
M_CPD__45__667_c	495
M_SO3_c	11
M_CPD__45__15709_c	1481
M_2__45__ACETO__45__2__45__HYDROXY__45__BUTYRATE_c	1062
M_CPD__45__317_c	29
M_CPD__45__10774_c	31
M_DEOXYINOSINE_c	639
M_CPD__45__15642_c	20
M_L__45__23__45__DIAMINOPROPANOATE_c	2
M_PHENYLACETATE_c	8
M_MESACONATE_c	27
M_D__45__SEDOHEPTULOSE__45__7__45__P_c	1247
M_D__45__SERINE_c	28
M_CPD__45__381_c	18
M_CPD__45__600_c	9
M_L__45__ARGININO__45__SUCCINATE_c	845
M_DEOXYXYLULOSE__45__5P_c	1443
M_CPD__45__10775_c	31
M_DEAMIDO__45__NAD_c	1293
M_METHYL__45__MALONYL__45__COA_c	119
M_INDOLE_ACETALDEHYDE_c	35
M_CPD__45__18238_c	844
M_PUTRESCINE_c	466
M_CPD__45__602_c	693
M_UDP__45__ACETYL__45__CARBOXYVINYL__45__GLUCOSAMINE_c	321
M_CPD__45__12004_c	7
M_AMINO__45__HYDROXYMETHYL__45__METHYLPYRIMIDINE__45__PP_c	356
M_CPD__45__14736_c	4
M_DOCOSANOATE_c	1520
M_2__45__3__45__DIHYDROXYBENZOATE_c	34
M_CPD__45__62_c	34
M_CPD__45__335_c	4
M_CPD__45__227_c	13
M_NITRIC__45__OXIDE_c	6
M_CPD__45__14021_c	141
M_CPD__45__3617_c	1520
M_CPD__45__10753_c	79
M_PROPANE__45__1__45__2__45__DIOL_c	19
M_FORMYL__45__ISOGLUTAMINE_c	46
M_AMMONIUM_c	1519
M_CPD__45__9000_c	10
M_CPD__45__16013_c	1108
M_CPD__45__16606_c	84
M_ALPHA__45__RIBAZOLE__45__5__45__P_c	1
M_D__45__METHYL__45__MALONYL__45__COA_c	123
M_CPD__45__470_c	23
M_GLYCOL_c	312
M_CPD__45__9392_c	19
M_STEARIC_ACID_c	1520
M_4__45__AMINO__45__4__45__DEOXYCHORISMATE_c	957
M_DATP_c	956
M_3__45__KETOBUTYRATE_c	20
M_OXALACETIC_ACID_c	1168
M_GDP__45__D__45__GLUCOSE_c	11
M_CPD__45__10551_c	14
M_5__45__METHYL__45__THF_c	1520
M_CPD__45__12177_c	8
M_CPD__45__14378_c	2
M_CPD__45__421_c	1
M_3__45__MERCAPTO__45__PYRUVATE_c	30
M_ACETOACETYL__45__COA_c	40
M_GDP__45__MANNOSE_c	53
M_CPD__45__13469_c	1337
M_CPD__45__8989_c	674
M_CPD__45__307_c	33
M_CIS__45__ACONITATE_c	648
M_N__45__ALPHA__45__ACETYLORNITHINE_c	119
M_4__45__OH__45__4__45__ACETYL__45__2__45__OXOGLUTARATE_c	3
M_CPD__45__641_c	4
M_CPD__45__13913_c	117
M_GDP_c	891
M_CPD__45__13910_c	117
M_NEOKESTOSE_c	1
M_ADP__45__L__45__GLYCERO__45__D__45__MANNO__45__HEPTOSE_c	40
M_CPD__45__19753_c	34
M_XYLULOSE__45__5__45__PHOSPHATE_c	1283
M_IMIDAZOLE__45__ACETOL__45__P_c	1242
M_CPD0__45__2461_c	619
M_PROPIONYL__45__COA_c	189
M_L__45__CYSTEATE_c	19
M_CPD__45__3462_c	5
M_DI__45__H__45__URACIL_c	47
M_DAMP_c	21
M_CPD__45__12367_c	262
M_CPD__45__407_c	243
M_OH__45__HEXANOYL__45__COA_c	1
M_3__45__4__45__DIHYDROXYBENZOATE_c	75
M_DCMP_c	393
M_DIHYDROXYACETONE_c	961
M_CPD__45__15382_c	641
M_CPD__45__13914_c	117
M_CPD__45__302_c	36
M_CPD__45__11281_c	29
M_SUC__45__COA_c	135
M_CARBAMATE_c	848
M_FUM_c	1305
M_CPD__45__499_c	4
M_UROCANATE_c	456
M_CPD__45__10244_c	1520
M_3__45__HYDROXY__45__ANTHRANILATE_c	4
M_CPD__45__155_c	124
M_GDP__45__4__45__DEHYDRO__45__6__45__DEOXY__45__D__45__MANNOSE_c	28
M_DEHYDRO__45__DEOXY__45__GALACTONATE__45__PHOSPHATE_c	1
M_CPD__45__1091_c	9
M_CTP_c	671
M_THIAMINE__45__P_c	229
M_CPD__45__653_c	1520
M_PHOSPHORIBOSYL__45__FORMIMINO__45__AICAR__45__P_c	1243
M_CPD__45__15818_c	799
M_XYLITOL_c	1520
M_MALONYL__45__COA_c	387
M_L__45__THREO__45__3__45__METHYL__45__ASPARTATE_c	46
M_L__45__GAMMA__45__GLUTAMYLCYSTEINE_c	245
M_ALPHA__45__GLC__45__6__45__P_c	12
M_CPD__45__14808_c	28
M_CPD__45__13043_c	542
M_CPD__45__12279_c	905
M_L__45__ALPHA__45__ALANINE_c	1520
M_CPD__45__1063_c	42
M_METHYLOXALO__45__ACETATE_c	20
M_ARACHIDIC_ACID_c	1520
M_CARBAMYUL__45__L__45__ASPARTATE_c	847
M_ACETOL_c	19
M_ARABINOSE__45__5P_c	34
M_BIO__45__5__45__AMP_c	1447
M_CPD__45__12826_c	1520
M_ADENOSYLCOBALAMIN_c	1520
M_HYDROGEN__45__PEROXIDE_c	674
M_L__45__1__45__LYSOPHOSPHATIDATE_c	16
M_NICOTINAMIDE_NUCLEOTIDE_c	1078
M_CPD__45__569_c	5
M_D__45__RIBULOSE_c	154
M_CPD__45__12427_c	38
M_CPD__45__9923_c	315
M_GLUTATHIONYLSPERMIDINE_c	31
M_L__45__HISTIDINOL__45__P_c	1242
M_LINOLENIC_ACID_c	1520
M_CPD1F__45__129_c	1520
M_D__45__galactopyranose_c	1520
M_GLUTARATE_c	19
M_INDOLE__45__3__45__GLYCEROL__45__P_c	1187
M_CPD__45__389_c	9
M_5__45__PHOSPHO__45__RIBOSYL__45__GLYCINEAMIDE_c	1305
M_CPD__45__606_c	142
M_HOMO__45__CIS__45__ACONITATE_c	3
M_CPD__45__7671_c	567
M_THR_c	1520
M_DIHYDRONEOPTERIN__45__P3_c	712
M_CU__43__2_c	1520
M_5__45__P__45__RIBOSYL__45__N__45__FORMYLGLYCINEAMIDE_c	163
M_CPD__45__15373_c	141
M_D__45__XYLULOSE_c	25
M_AMINO__45__HYDROXYMETHYL__45__METHYL__45__PYR__45__P_c	356
M_D__45__BETA__45__D__45__HEPTOSE__45__17__45__DIPHOSPHATE_c	131
M_2__45__HYDROXY__45__3__45__KETO__45__5__45__METHYLTHIO__45__1__45__PHOSPHOP_c	15
M_Cellodextrins_c	345
M_OLEATE__45__CPD_c	1520
M_PROPIONYL__45__P_c	185
M_DIHYDROXYPENTANEDIONE_c	31
M_URATE_c	1520
M_CPD__45__10808_c	6
M_MANNITOL_c	1520
M_CPD__45__13644_c	5
M_RIBOSE__45__1P_c	923
M_CPD__45__13118_c	28
M_4__45__CYTIDINE__45__5__45__DIPHOSPHO__45__2__45__C_c	617
M_CPD__45__375_c	1253
M_1__45__PALMITOYLGLYCEROL__45__3__45__PHOSPHATE_c	51
M_CPD__45__19693_c	2
M_ADENINE_c	1049
M_CDP_c	669
M_CPD__45__622_c	168
M_CPD0__45__1699_c	542
M_HISTIDINAL_c	1242
M_CPD__45__2343_c	117
M_DGDP_c	45
M_CPD__45__16887_c	1
