species	nb_reactions	nb_reactions_with_genes	nb_genes	nb_compounds	nb_pathways
specI_v3_Cluster99	3089	2567	4336	3213	441
specI_v3_Cluster1348	1591	1298	1889	1852	209
specI_v3_Cluster8868	1683	1330	2360	1942	236
specI_v3_Cluster6956	1937	1559	2085	2140	269
specI_v3_Cluster3670	1788	1426	3246	2011	247
specI_v3_Cluster1940	1831	1474	1981	2020	265
specI_v3_Cluster318	1927	1550	3193	2136	269
specI_v3_Cluster7732	1600	1246	1995	1859	213
specI_v3_Cluster3744	1729	1417	2303	2002	239
specI_v3_Cluster7651	801	649	1218	1101	83
specI_v3_Cluster11860	1910	1534	2394	2154	245
specI_v3_Cluster3598	1629	1305	2369	1858	224
specI_v3_Cluster3475	2267	1832	4996	2491	320
specI_v3_Cluster7688	822	658	1429	1108	90
specI_v3_Cluster4828	2411	1950	5435	2673	343
specI_v3_Cluster1407	1704	1363	2275	1942	247
specI_v3_Cluster7852	2053	1686	4109	2304	271
specI_v3_Cluster2379	1747	1382	2552	2036	223
specI_v3_Cluster11606	1777	1424	3717	1994	246
specI_v3_Cluster7650	1467	1174	2035	1684	209
specI_v3_Cluster4416	1538	1234	1932	1816	200
specI_v3_Cluster2193	1675	1358	2812	1921	233
specI_v3_Cluster1069	1974	1620	2469	2166	259
specI_v3_Cluster3066	1827	1423	2489	2068	245
specI_v3_Cluster945	1508	1207	1816	1731	202
specI_v3_Cluster7734	1721	1356	2310	1882	249
specI_v3_Cluster7630	706	559	1356	973	71
specI_v3_Cluster3930	1839	1475	2793	2027	267
specI_v3_Cluster1016	1952	1562	2963	2219	260
specI_v3_Cluster7601	1679	1361	2275	1945	230
specI_v3_Cluster1068	1944	1594	2012	2122	261
specI_v3_Cluster11610	1707	1348	3546	1920	235
