species	taxon_id
GCA_003463265	28026
GCA_003436175	821
GCA_003479375	29523
GCA_003463615	28026
GCA_003461265	41978
GCA_003433865	853
GCA_003436635	1681
GCA_003471655	1639133
GCA_003463065	1955243
GCA_003435265	1720294
GCA_003481085	2049024
GCA_003464695	818
GCA_003473695	41978
GCA_003477965	2137881
GCA_003465925	1505
GCA_003437235	1965294
GCA_003468085	1965294
GCA_003471045	166486
GCA_003477505	1898204
GCA_003481825	1506
GCA_003466795	1730
GCA_003478905	2049021
GCA_003603695	1898203
GCA_003436875	1869337
GCA_003474525	28026
GCA_003438305	310297
GCA_003480625	1898205
GCA_003464325	1680
GCA_003436905	1328
GCA_003472675	818
GCA_003462585	41978
GCA_003439255	39486
GCA_003437315	165179
GCA_003457695	1304
GCA_003469185	1965294
GCA_003434455	154046
GCA_003604095	1506
GCA_003463985	310297
GCA_003457975	216816
GCA_003478685	1879010
GCA_003468175	46506
GCA_003459005	823
GCA_003473115	28026
GCA_003460685	1955243
GCA_003434175	853
GCA_003474655	165179
GCA_003439415	823
GCA_003461705	1879010
GCA_003482105	2049024
GCA_003603005	1971605
GCA_003466885	820
GCA_003435635	41978
GCA_003462165	1955243
GCA_003472055	818
GCA_003438665	29523
GCA_003437545	371601
GCA_003602935	29523
GCA_003478085	1924109
GCA_003464575	216816
GCA_003458455	1730
GCA_003479215	1506
GCA_003438785	1965294
GCA_003603465	142586
GCA_003477585	41978
GCA_003603635	29523
GCA_003468235	154046
GCA_003469285	1965294
GCA_003475105	39496
GCA_003436475	820
GCA_003462505	41978
GCA_003465865	1735
GCA_003478915	2049040
GCA_003439055	29523
GCA_003468125	1965294
GCA_003465335	57732
GCA_003463505	28026
GCA_003461855	41978
GCA_003464815	41978
GCA_003474835	28026
GCA_003470175	1547
GCA_003475585	562
GCA_003482195	2049040
GCA_003463365	871324
GCA_003461745	2137881
GCA_003467545	1965294
GCA_003471015	88431
GCA_003470975	29361
GCA_003435835	41978
GCA_003463785	823
GCA_003474105	1926307
GCA_003438485	216816
GCA_003479245	41978
GCA_003478505	1506
GCA_003475835	216816
GCA_003473445	1730
GCA_003471745	817
GCA_003439005	46503
GCA_003472575	28026
GCA_003469085	1965294
GCA_003437695	216816
GCA_003471065	165179
GCA_003437475	1869337
GCA_003464535	626929
GCA_003480955	1506
GCA_003458745	33043
GCA_003463185	29361
GCA_003477865	1955243
GCA_003466725	40518
GCA_003437095	216816
GCA_003434625	1869337
GCA_003462815	454154
GCA_003457925	820
GCA_003435415	1323
GCA_003604025	2053618
GCA_003464415	562
GCA_003464205	821
GCA_003603335	2053618
GCA_003474405	2005525
GCA_003437755	1680
GCA_003473225	1965294
GCA_003480125	1506
GCA_003603135	142586
GCA_003457655	165179
GCA_003473725	1898203
GCA_003469845	40520
GCA_003465495	165179
GCA_003436935	817
GCA_003434665	1653434
GCA_003478765	41978
GCA_003462235	41978
GCA_003471415	28026
GCA_003482095	1955243
GCA_003472745	1776384
GCA_003458645	1304
GCA_003458145	357276
GCA_003436455	1965294
GCA_003466325	29523
GCA_003460725	41978
GCA_003434615	29523
GCA_003461905	2137881
GCA_003461045	2137881
GCA_003462485	33969
GCA_003435335	1653434
GCA_003461625	1506
GCA_003478335	1506
GCA_003457855	1263
GCA_003436275	1965294
GCA_003482385	1955243
GCA_003436335	856
GCA_003436145	410072
GCA_003475265	46503
GCA_003478205	1879010
GCA_003438775	817
GCA_003468875	371601
GCA_003480615	2049021
GCA_003469945	40520
GCA_003473205	216816
GCA_003463945	46503
GCA_003481885	1506
GCA_003461765	2049040
GCA_003479705	1955243
GCA_003475695	821
GCA_003463405	28118
GCA_003481115	2137881
GCA_003477645	1879010
GCA_003459675	626929
GCA_003436415	46506
GCA_003464755	562
GCA_003480405	2137881
GCA_003470025	329854
GCA_003481215	1955243
GCA_003481625	41978
GCA_003438175	1730
GCA_003439275	821
GCA_003460345	28111
GCA_003481715	2049040
GCA_003435895	29523
GCA_003472385	1981025
GCA_003459935	2137881
GCA_003438405	28026
GCA_003469685	818
GCA_003473025	28026
GCA_003479605	2049040
GCA_003435855	1506
GCA_003471965	544645
GCA_003463835	46506
GCA_003481685	1506
GCA_003437815	817
GCA_003436945	39486
GCA_003460135	1965294
GCA_003434135	853
GCA_003479825	2005525
GCA_003458595	310297
GCA_003434325	1898203
GCA_003438235	821
GCA_003463485	1506
GCA_003603115	2049024
GCA_003472965	28116
GCA_003465185	1981025
GCA_003435435	41978
GCA_003469705	817
GCA_003603715	1898203
GCA_003472845	37734
GCA_003463605	821
GCA_003462405	41978
GCA_003464785	820
GCA_003603575	142586
GCA_003438825	46503
GCA_003435925	1506
GCA_003435205	29523
GCA_003480305	41978
GCA_003474535	310297
GCA_003478175	1971605
GCA_003464885	562
GCA_003475065	1263
GCA_003438525	84112
GCA_003461785	41978
GCA_003472875	47678
GCA_003459505	1965294
GCA_003461655	41978
GCA_003437485	39486
GCA_003467095	821
GCA_003438995	29523
GCA_003458635	40520
GCA_003465275	28116
GCA_003458915	310297
GCA_003471545	820
GCA_003461725	1872530
GCA_003460955	1955243
GCA_003473385	1730
GCA_003474155	821
GCA_003603585	29523
GCA_003471295	28026
GCA_003434235	116085
GCA_003458335	216816
GCA_003473755	142586
GCA_003464105	40520
GCA_003464965	46506
GCA_003469155	40520
GCA_003473145	1681
GCA_003474945	46506
GCA_003459445	1547
GCA_003462305	2137881
GCA_003433695	128827
GCA_003460835	41978
GCA_003462135	41978
GCA_003480825	1898203
GCA_003463345	357276
GCA_003459735	39486
GCA_003461105	2049040
GCA_003467845	154046
GCA_003603065	29523
GCA_003435615	2049022
GCA_003603235	29523
GCA_003434395	29523
GCA_003603645	2049024
GCA_003463925	820
GCA_003436725	46228
GCA_003461145	1965233
GCA_003469595	329854
GCA_003470555	40520
GCA_003480885	41978
GCA_003462045	41978
GCA_003457595	40520
GCA_003471685	37734
GCA_003469355	2042683
GCA_003464085	1506
GCA_003436285	817
GCA_003466065	1583
GCA_003435745	1872444
GCA_003433925	154046
GCA_003473975	371601
GCA_003480855	2049021
GCA_003465305	821
GCA_003472225	821
GCA_003469095	1730
GCA_003466745	1730
GCA_003478745	2137881
GCA_003481925	2049021
GCA_003458155	29523
GCA_003477475	41978
GCA_003481175	1955243
GCA_003466615	1730
GCA_003603055	29523
GCA_003435325	1898204
GCA_003475305	46503
GCA_003467635	1547
GCA_003467365	291645
GCA_003469655	291644
GCA_003436015	29523
GCA_003465825	1965294
GCA_003481805	1898203
GCA_003467805	853
GCA_003459405	40518
GCA_003480165	1879010
GCA_003470285	850
GCA_003602945	29523
GCA_003462525	41978
GCA_003480345	1506
GCA_003479565	1506
GCA_003469565	1318
GCA_003479765	1898205
GCA_003478225	1506
GCA_003472125	821
GCA_003469415	820
GCA_003466635	817
GCA_003435055	1898203
GCA_003462805	28118
GCA_003434335	2049024
GCA_003457915	1506
GCA_003479045	2137881
GCA_003435535	41211
GCA_003435905	2137881
GCA_003479425	1965233
GCA_003464645	40520
GCA_003460425	28026
GCA_003439355	100884
