sample	expe	category	phylum	occurrence
MH0064	fulltargets_com	ES	Bacteroidota	2
MH0064	fulltargets_com	KS	Bacteroidota	2
MH0064	addedvalue_com	ES	Bacteroidota	2
MH0064	addedvalue_com	KS	Bacteroidota	2
MH0067	fulltargets_com	ES	Bacteroidota	2
MH0067	fulltargets_com	ES	Cyanobacteria	1
MH0067	fulltargets_com	KS	Bacteroidota	2
MH0067	fulltargets_com	KS	Cyanobacteria	1
MH0067	addedvalue_com	ES	Bacteroidota	2
MH0067	addedvalue_com	ES	Cyanobacteria	1
MH0067	addedvalue_com	KS	Bacteroidota	2
MH0067	addedvalue_com	KS	Cyanobacteria	1
MH0073	fulltargets_com	ES	Bacteroidota	7
MH0073	fulltargets_com	KS	Bacteroidota	7
MH0073	addedvalue_com	ES	Bacteroidota	7
MH0073	addedvalue_com	KS	Bacteroidota	7
MH0077	fulltargets_com	ES	Bacteroidota	4
MH0077	fulltargets_com	ES	Firmicutes	1
MH0077	fulltargets_com	ES	Firmicutes_A	5
MH0077	fulltargets_com	KS	Bacteroidota	4
MH0077	fulltargets_com	KS	Firmicutes	1
MH0077	fulltargets_com	KS	Firmicutes_A	5
MH0077	addedvalue_com	ES	Bacteroidota	3
MH0077	addedvalue_com	ES	Firmicutes	1
MH0077	addedvalue_com	ES	Firmicutes_A	5
MH0077	addedvalue_com	KS	Bacteroidota	3
MH0077	addedvalue_com	KS	Firmicutes	1
MH0077	addedvalue_com	KS	Firmicutes_A	5
MH0082	fulltargets_com	ES	Bacteroidota	1
MH0082	fulltargets_com	ES	Firmicutes_A	1
MH0082	fulltargets_com	KS	Bacteroidota	1
MH0082	fulltargets_com	KS	Firmicutes_A	1
MH0082	addedvalue_com	ES	Bacteroidota	1
MH0082	addedvalue_com	ES	Firmicutes_A	1
MH0082	addedvalue_com	KS	Bacteroidota	1
MH0082	addedvalue_com	KS	Firmicutes_A	1
MH0086	fulltargets_com	AS	Bacteroidota	1
MH0086	fulltargets_com	AS	Firmicutes	1
MH0086	fulltargets_com	AS	Firmicutes_A	3
MH0086	fulltargets_com	ES	Bacteroidota	5
MH0086	fulltargets_com	ES	Cyanobacteria	2
MH0086	fulltargets_com	ES	Firmicutes	6
MH0086	fulltargets_com	ES	Firmicutes_A	25
MH0086	fulltargets_com	ES	Firmicutes_C	1
MH0086	fulltargets_com	ES	Proteobacteria	1
MH0086	fulltargets_com	KS	Bacteroidota	6
MH0086	fulltargets_com	KS	Cyanobacteria	2
